id,question,A,B,C,D,solution,category,difficulty
444,Balancea 2Na₂CO₃ + _HCl -> 4NaCl + 2H₂O + 2CO₂,2,3,4,6,C,balancing,hard
445,Balancea B₂O₃ + _HF -> 2BF₃ + 3H₂O,4,5,6,8,C,balancing,hard
446,Balancea 2C₈H₈O₃ + _O₂ -> 16CO₂ + 8H₂O,15,16,17,18,C,balancing,hard
447,Balancea 6Mg + _N₂ -> 2Mg₃N₂,1,2,3,4,B,balancing,hard
448,Balancea 8P + _O₂ -> 4P₂O₅,8,10,12,14,B,balancing,hard
449,Balancea P₄ + 20HNO₃ -> 4H₃PO₄ + 20NO₂ + _H₂O,2,3,4,5,C,balancing,hard
450,Balancea 4Sb + 10HNO₃ -> 2Sb₂O₅ + 5NO₂ + _H₂O,1,No ajustable,3,5,B,balancing,hard
451,Cuál es la partícula subatómica con carga negativa en el átomo?,Protón,Neutrón,Electrón,Positrón,C,general,easy
452,Cuál es la fórmula química del agua?,H₂O,H₂O₂,HO₂,OH₂,A,general,easy
453,Cuál de los siguientes es un ejemplo de mezcla homogénea?,Agua y aceite,Aire,Agua con arena,Ensalada,B,general,easy
454,Qué se libera principalmente en una reacción de combustión completa?,Ozono,Monóxido de carbono,Agua y dióxido de carbono,Vapor de nitrógeno,C,general,easy
455,Cuál es el símbolo químico del potasio?,P,Pt,K,Po,C,general,easy
456,Qué es la electronegatividad?,La capacidad de un átomo para perder electrones,La capacidad de un átomo para atraer electrones,La cantidad de electrones en la corteza,La carga total del átomo,B,general,easy
457,Cuál de estos dispositivos se usa para medir el pH de una solución?,Termómetro,Balanza,Electrodo de pH,Bureta,C,general,easy
458,Cuál es la principal diferencia entre un elemento y un compuesto?,Los compuestos no tienen masa,Un elemento está formado por un solo tipo de átomo y un compuesto por dos o más,Los elementos son siempre líquidos,Un compuesto es un estado de la materia,B,general,easy
459,Qué tipo de reacción química ocurre cuando un ácido y una base se mezclan para formar una sal y agua?,Combustión,Neutralización,Reducción,Polimerización,B,general,easy
460,Cuál de las siguientes propiedades describe la capacidad de un material para ser estirado en hilos finos?,Maleabilidad,Ductilidad,Resiliencia,Tenacidad,B,general,easy
461,Qué es la evaporación?,Paso de sólido a gas,Paso de líquido a gas a temperatura ambiente,Condensación del vapor,Difusión de un gas,B,general,easy
462,Qué es la tabla periódica de los elementos?,Un registro histórico de experimentos,Una agrupación de átomos por tamaño de sus núcleos,Una clasificación de los elementos químicos según sus propiedades,Una lista de compuestos orgánicos,C,general,easy
463,Qué tipo de enlace químico se forma generalmente entre un metal y un no metal?,Covalente,Metálico,Iónico,Péptido,C,general,easy
464,Cómo se llama el cambio de fase de gas a líquido?,Fusión,Sublimación,Condensación,Evaporación,C,general,easy
465,Cuál es la propiedad que describe la cantidad de materia en un objeto?,Volumen,Masa,Densidad,Longitud,B,general,easy
466,Qué tipo de mezcla es el granito (roca con distintos minerales visibles)?,Compuesto puro,Solución homogénea,Mezcla heterogénea,Elemento,C,general,easy
467,Qué sucede con las moléculas de un líquido al aumentar la temperatura?,Disminuyen su energía cinética,Aumentan su energía cinética y se mueven más rápido,Se congelan automáticamente,Se descomponen en átomos,B,general,easy
468,Qué es la valencia de un átomo?,La masa total del átomo,El número de protones en el núcleo,La capacidad de un átomo para combinarse con otros,La energía de enlace,C,general,easy
469,Qué tipo de compuesto se forma cuando el hidrógeno se combina con un halógeno como el cloro?,Un óxido,Un hidrato,Un hidruro metálico,Un ácido hidrácido,D,general,easy
470,Cuál de las siguientes unidades se utiliza para medir la cantidad de sustancia en química?,Kelvin,Metro,Mol,Joule,C,general,easy
471,Cuál de los siguientes elementos es un gas noble?,Hidrógeno,Oxígeno,Neón,Nitrógeno,C,general,easy
472,En qué tipo de reacción química dos compuestos se unen para formar uno más complejo?,Descomposición,Síntesis,Neutralización,Redox,B,general,easy
473,Cuál de las siguientes es una sustancia compuesta por dos o más elementos químicos distintos unidos químicamente?,Elemento,Mezcla,Compuesto,Solución,C,general,easy
474,Cuál es el principal gas responsable del efecto invernadero?,Ozono,Dióxido de carbono,Argón,Metano,B,general,easy
475,Qué significa que una sustancia sea soluble en agua?,Que reacciona con el agua,Que se mezcla con aceite,Que puede disolverse en agua,Que no cambia sus propiedades,C,general,easy
476,Cuál de las siguientes magnitudes se mide en Pascales (Pa)?,Temperatura,Presión,Velocidad,Masa,B,general,easy
477,Qué elemento tiene el símbolo químico 'Ag'?,Oro,Aluminio,Plata,Argón,C,general,easy
478,"En una reacción química, qué son los reactivos?",Los productos finales,Las sustancias que intervienen al comienzo,Las sustancias inertes,Los iones presentes en el medio,B,general,easy
479,Cuál es el factor que se modifica en un experimento para observar su efecto?,Variable independiente,Variable dependiente,Control,Constante,A,general,easy
480,Qué describe la ley de conservación de la masa?,La masa puede convertirse en energía,La masa permanece constante durante una reacción química,La masa varía con la temperatura,La masa aumenta al combinar sustancias,B,general,easy
481,Cuál de los siguientes instrumentos se utiliza para medir la masa de una sustancia?,Probeta,Balanza,Termómetro,Pipeta,B,general,easy
482,Cómo se llama la sustancia que acelera una reacción sin consumirse en ella?,Catalizador,Reactivo,Producto,Base,A,general,easy
483,Cuál es el método de separación que aprovecha las distintas temperaturas de ebullición?,Filtración,Decantación,Destilación,Imantación,C,general,easy
484,Qué es un ion positivo?,Un átomo con electrones extra,Un átomo que ha ganado neutrones,Un catión,Un anión,C,general,easy
485,Cuál de estos procesos es endotérmico?,La combustión,La congelación,La ebullición,La respiración celular,C,general,easy
486,Qué partícula determina la identidad de un elemento?,Electrón,Protón,Neutrón,Quark,B,general,easy
487,Cuál es la unidad principal de la concentración en química?,Pascal,Molaridad,Joule,Newton,B,general,easy
488,Qué tipo de enlace une a los átomos en una molécula de nitrógeno (N₂)?,Iónico,Enlace de hidrógeno,Doble enlace covalente,Triple enlace covalente,D,general,easy
489,Cuál es el pH de una solución neutra a 25Â°C?,0,7,14,1,B,general,easy
490,Cuál de las siguientes es una disolución electrolítica?,Agua destilada,Alcohol puro,Solución salina,Disolución de azúcar en agua,C,general,easy
491,Qué tipo de cambio ocurre cuando una sustancia se transforma químicamente en otra diferente?,Cambio físico,Cambio químico,Cambio de estado,Cambio nuclear,B,general,easy
492,Cuál es el estado físico del bromo a temperatura ambiente?,Sólido,Líquido,Gas,Plasma,B,general,easy
493,Cuál de estas sustancias es considerada una base según la teoría de Arrhenius?,HCl,NaOH,H₂SO₄,CH₄,B,general,easy
494,Qué mide la ley de los gases ideales PV=nRT?,"La relación entre presión, volumen, temperatura y cantidad de gas",La velocidad de reacción,La concentración iónica,La densidad,A,general,easy
495,Cuál es el elemento más abundante en la corteza terrestre?,Hierro,Silicio,Oxígeno,Aluminio,C,general,easy
496,Qué tipo de partícula subatómica se encuentra en el núcleo con carga positiva?,Electrón,Protón,Neutrón,Ión,B,general,easy
497,Cuál es el valor aproximado de la constante de Avogadro?,6.022x₁₀²⁰,6.022x₁₀²³,9.81x₁₀²³,1.602x₁₀⁻19,B,general,easy
498,Qué propiedad de los metales les permite ser martillados o deformados en láminas?,Ductilidad,Maleabilidad,Fragilidad,Conductividad térmica,B,general,easy
499,Cuál de estos elementos es un halógeno?,Cloro,Sodio,Oro,Magnesio,A,general,easy
500,Cuál es la unidad de carga eléctrica en el SI?,Newton,Coulomb,Joule,Volt,B,general,easy
501,Qué tipo de reacción implica la ganancia de electrones?,Oxidación,Reducción,Neutralización,Síntesis,B,general,easy
502,Cómo se denomina el proceso por el cual un líquido pasa a estado sólido?,Evaporación,Sublimación,Congelación,Condensación,C,general,easy
503,Cuál de las siguientes sustancias es un ejemplo de ácido orgánico?,H₂SO₄,HCl,CH₃COOH,HNO₃,C,general,easy
504,Cuál es la principal diferencia entre un cambio físico y un cambio químico?,El cambio físico produce nuevas sustancias,El cambio químico modifica el estado de agregación,El cambio físico no altera la composición química,El cambio químico sólo cambia la forma de la sustancia,C,general,easy
505,Qué nombre reciben las filas horizontales de la tabla periódica?,Grupos,Períodos,Bloques,Familias,B,general,easy
506,Qué ocurre cuando un átomo pierde electrones?,Se vuelve un anión,Se vuelve un catión,No cambia su carga,Gana masa atómica,B,general,easy
507,Cuál es la fórmula general de los alcanos?,C(n)H(2n),C(n)H(2n+2),C(n)H(2n-2),C(n)H(2n+1)OH,B,general,easy
508,Cuál es la temperatura de ebullición del agua pura a nivel del mar?,50Â°C,75Â°C,100Â°C,120Â°C,C,general,easy
509,Qué proceso produce la formación de óxido en el hierro?,Hidratación,Reducción,Corrosión,Destilación,C,general,easy
510,Cuál es la fórmula del etanol?,CH₃OH,C₂H₅OH,C₂H₆,CH₃COOH,B,general,easy
511,Qué es un indicador ácido-base?,Una sustancia que cambia de color según el pH,Un catalizador de reacciones,Un tipo de ácido fuerte,Una sal inorgánica,A,general,easy
512,Qué partículas se combinan para formar núcleos atómicos más pesados en la fusión nuclear?,Electrones,Protones,Neutrones,Quarks,B,general,easy
513,Cuál de los siguientes es un gas a temperatura ambiente?,NaCl,CO₂,Ag,H₂O,B,general,easy
514,Qué propiedad describe la cantidad de soluto presente en una cantidad dada de disolvente?,Presión,Molaridad,Conductividad,Temperatura,B,general,easy
515,Cuáles son las partículas elementales de carga neutra en el átomo?,Electrones,Protones,Neutrones,Iones,C,general,easy
516,Qué es una reacción endotérmica?,Aquella que libera calor,Aquella que absorbe calor,Aquella que no intercambia calor,Aquella en la que no hay cambio de entalpía,B,general,easy
517,Qué tipo de mezcla es el agua con azúcar completamente disuelta?,Mezcla heterogénea,Compuesto químico,Solución homogénea,Suspensión,C,general,easy
518,Cuál es el número atómico del carbono?,6,8,12,14,A,general,easy
519,Qué tipo de enlace hay en una molécula de agua?,Enlace iónico,Enlace covalente polar,Enlace covalente no polar,Enlace metálico,B,general,easy
520,Cuál es la partícula con carga negativa que se forma cuando un átomo gana electrones?,Protón,Neutrón,Anión,Catión,C,general,easy
521,Qué significa la sigla pH?,Potencial de hidrógeno,Peso hidrológico,Presión hidrostática,Poder de hidratación,A,general,easy
522,Qué es el plasma en términos de estado de la materia?,Un gas ionizado,Un sólido cristalino,Un líquido muy viscoso,Un estado de baja energía,A,general,easy
523,"En una reacción química, qué son los productos?",Las sustancias iniciales,Las sustancias formadas,Los catalizadores,Los disolventes,B,general,easy
524,Cuál es el gas más ligero conocido?,Hidrógeno,Helio,Neón,Metano,A,general,easy
525,Qué es un isótopo?,Un átomo con diferente número de protones,Un átomo con diferente número de electrones,Un átomo con diferente número de neutrones,Un tipo de ión,C,general,easy
526,Qué tipo de enlace químico comparte electrones entre átomos?,Iónico,Covalente,Metálico,Vander Waals,B,general,easy
527,Cuál de estos no es un cambio de estado de la materia?,Fusión,Sublimación,Condensación,Termólisis,D,general,easy
528,Qué son las proteínas en términos químicos?,Cadenas de monosacáridos,Polímeros de aminoácidos,Ácidos nucleicos,Lípidos,B,general,easy
529,Cuál es el resultado de una reacción química de fotosíntesis?,Dióxido de carbono y agua,Glucosa y oxígeno,Ozono y agua,Metano y oxígeno,B,general,easy
530,Cuál de los siguientes es un ejemplo de coloide?,Agua y sal,Leche,Aceite y agua,Aire,B,general,easy
531,Qué es la presión osmótica?,La presión debida al peso de una columna de fluido,La presión que detiene el flujo de solvente a través de una membrana semipermeable,La presión en la superficie de un líquido,La presión de vapor de una sustancia,B,general,easy
532,Qué es un radical libre?,Un átomo o molécula con un número impar de protones,Un átomo o molécula con un electrón desapareado,Un ion cargado positivamente,Un compuesto químico estable,B,general,easy
533,Qué estudia la estequiometría en química?,La estructura atómica,La descripción de las reacciones nucleares,Las relaciones cuantitativas entre reactivos y productos,La cristalografía de rayos X,C,general,easy
534,Cuál es el punto de congelación del agua en la escala Celsius?,0Â°C,10Â°C,-27Â°C,4Â°C,A,general,easy
535,Qué partícula subatómica influye en la reactividad química de un átomo?,Neutrón,Protón,Electrón,Núcleo,C,general,easy
536,Qué ocurre en una reacción exotérmica?,Se absorbe energía en forma de calor,No hay intercambio de calor,Se libera energía en forma de calor,El sistema se enfría permanentemente,C,general,easy
537,Cuál de estas no es una propiedad extensiva de la materia?,Masa,Volumen,Densidad,Longitud,C,general,easy
538,Cuál es la densidad del agua pura a 4Â°C en g/mL?,0.5,1.0,1.5,2.0,B,general,easy
539,Qué es un átomo?,La partícula cargada que forma parte de las moléculas,La unidad básica de un elemento químico,Un ión con carga negativa,Un compuesto de protones y electrones,B,general,easy
540,Cuál es la forma alotrópica más común del oxígeno en la atmósfera?,O,OH,O₂,O₃,C,general,easy
541,Qué partícula subatómica tiene carga positiva?,Electrón,Neutrón,Protón,Bosón de Higgs,C,general,easy
542,Qué significa la sigla 'atm' en química?,Átomo,Atmósfera,Átomo-mol,Anti-temperatura,B,general,easy
543,Qué tipo de compuesto forma típicamente un óxido metálico al reaccionar con agua?,Un ácido,Un alqueno,Una base,Un éter,C,general,easy
544,Cuál es la característica principal de un gas ideal?,Sus átomos están fuertemente unidos,No ocupa volumen,No hay atracción ni repulsión entre sus moléculas,Es siempre más denso que el aire,C,general,easy
545,Qué es la electroquímica?,El estudio de la electricidad y la electrónica,La parte de la química que estudia las relaciones entre los fenómenos químicos y eléctricos,El análisis de compuestos orgánicos con espectroscopía IR,La medición de pH en soluciones acuosas,B,general,easy
546,Qué instrumento se utiliza para medir el calor intercambiado en reacciones químicas?,Termómetro,Calorímetro,Reactor,Balanza,B,general,easy
547,Cuál es el principal componente del gas natural?,Propano,Butano,Metano,Etano,C,general,easy
548,Cuál es la fórmula química del ácido clorhídrico?,HCl,H₂Cl,ClH₂,H₂C,B,general,easy
549,Qué define la ley de Proust o ley de las proporciones definidas?,La temperatura constante de ebullición,Que la energía se conserva en cada reacción,Que un compuesto tiene siempre los mismos elementos en la misma proporción en masa,Que la masa atómica es invariable,C,general,easy
550,Cuál de estas leyes establece que el volumen de un gas es inversamente proporcional a su presión a temperatura constante?,Ley de Charles,Ley de Avogadro,Ley de Boyle,Ley de Dalton,C,general,easy
551,Cuál de los siguientes es un metal alcalino?,Sodio,Calcio,Cobre,Hierro,A,general,easy
552,Cuál de los siguientes elementos es un metal de transición?,Hierro,Neón,Azufre,Carbono,A,general,easy
553,Cuál de los siguientes metales forma parte principal del latón?,Cobre,Estaño,Plata,Mercurio,A,general,easy
554,Cuál de estos ácidos se encuentra en el jugo gástrico humano?,Ácido clorhídrico,Ácido acético,Ácido sulfúrico,Ácido nítrico,A,general,easy
555,Cuál de los siguientes define el número de oxidación en un compuesto químico?,La supuesta carga de un átomo,El número de electrones en el núcleo,La masa molecular,La electronegatividad,A,general,easy
556,Cuál de los siguientes compuestos es un hidrato de carbono?,Glucosa,Aminoácido,Colesterol,Ácido láctico,A,general,easy
557,Cuál es la carga eléctrica del núcleo atómico?,Negativa,Neutra,Positiva,Depende del isótopo,C,general,easy
558,Qué ley establece que a temperatura constante el volumen de un gas es directamente proporcional al número de moles?,Ley de Boyle,Ley de Avogadro,Ley de Charles,Ley de Dalton,B,general,easy
559,Cuál es la proteína responsable del transporte de oxígeno en la sangre?,Glucógeno,Hemoglobina,Quitina,Colágeno,B,general,easy
560,Qué nombre reciben las columnas verticales de la tabla periódica?,Períodos,Grupos,Bloques,Series,B,general,easy
561,Qué mide la escala de dureza de Mohs?,Resistencia a la fractura,Resistencia al rayado,Conductividad eléctrica,Maleabilidad,B,general,easy
562,Cuál de las siguientes sustancias es un lípido?,Triglicérido,Celulosa,Hemoglobina,ARN,A,general,easy
563,Cuál de estos fenómenos describe la dispersión de la luz al pasar por un prisma?,Reflexión,Difracción,Refracción,Polarización,C,general,easy
564,Cuál de los siguientes es un ejemplo de un éster?,Metanol,Etanoato de etilo,Buteno,Amoníaco,B,general,easy
565,Cuál es el ion resultante de la desprotonación del ácido clorhídrico (HCl)?,Cl⁻,H⁻,OH⁻,Na⁺,A,general,easy
566,Qué compuesto se forma al reaccionar un ácido con un alcohol?,Amida,Éster,Cetona,Éter,B,general,easy
567,Cuál de estas mezclas es una suspensión?,Leche,Agua salada,Jugo de naranja con pulpa,Aleación de bronce,C,general,easy
568,Cuál de las siguientes bases nitrogenadas no está presente en el ADN?,Adenina,Timina,Citosina,Uracilo,D,general,easy
569,Cuál de las siguientes es una propiedad coligativa?,Solubilidad,Descenso crioscópico,Viscosidad,Polimorfismo,B,general,easy
570,En la neutralización de un ácido fuerte con una base fuerte, el pH final es aproximadamente...?,3,7,11,14,B,general
571,Cuál de los siguientes es un ejemplo de una amina?,NH₃,CH₃NH₂,C₂H₅OH,NaNH₂,B,general,easy
572,Qué partícula subatómica se transfiere o comparte durante las reacciones químicas?,Protones,Neutrones,Electrones,Quarks,C,general,easy
573,Cuál de los siguientes metales reacciona violentamente con agua?,Cobre,Hierro,Sodio,Oro,C,general,easy
574,Qué es un anión poliatómico?,Un ion con un solo átomo,Un ion con varios átomos,Un ion con carga positiva,Un radical libre,B,general,easy
575,Cuál de estos compuestos es insoluble en agua?,NaCl,CuSO₄,AgCl,HCl,C,general,easy
576,Qué elemento químico tiene el símbolo 'Sn'?,Estaño,Silicio,Estaña,Selenio,A,general,easy
577,Cuál de las siguientes afirmaciones es cierta acerca de los catalizadores?,Se consumen en la reacción,Aumentan la energía de activación,Disminuyen la energía de activación,Evitan que la reacción ocurra,C,general,easy
578,Cuál de los siguientes es un grupo funcional carbonilo?,–OH,–COOH,–CO–,–NH₂,C,general,easy
579,La ley de Charles relaciona el volumen de un gas y su...?,Presión,Temperatura,Número de moles,Masa,B,general,easy
580,Qué tipo de reacción química es A + B -> AB?,Descomposición,Síntesis,Simple sustitución,Doble sustitución,B,general,easy
581,En qué unidad se mide la masa molecular?,g/mol,mol/g,L/mol,mL,A,general,easy
582,Cuál es la fórmula química del carbonato de calcio?,CaCO₃,Ca(OH)₂,CaCl₂,CaO,A,general,easy
583,Cómo se llama el proceso en el que un sólido pasa directamente a estado gaseoso?,Fusión,Condensación,Sublimación,Deposición,C,general,easy
584,Cuál es la función principal de un buffer en una disolución?,Cambiar el color,Mantener el pH estable,Aumentar la temperatura,Eliminar iones,B,general,easy
585,"En la notación isotópica 14 arriba y 6 abajo C, qué indica el 14?",Número atómico,Número másico,Número de protones,Número de neutrones,B,general,easy
586,Qué tipo de enlace se forma entre dos aminoácidos en una proteína?,Enlace iónico,Enlace peptídico,Enlace metálico,Enlace de hidrógeno,B,general,easy
587,Cuál es la fórmula del ion amonio?,NH₃,NH₄⁺,NO₂⁻,NH₂⁻,B,general,easy
588,Cuál de las siguientes partículas subatómicas tiene mayor masa?,Protón,Electrón,Neutrón,Todos tienen la misma masa,C,general,easy
589,Cuál de los siguientes procesos describe la disociación de una sustancia en iones en agua?,Electrólisis,Ionización,Solvatación,Cristalización,B,general,easy
590,Qué significa que un ácido sea monoprotónico?,Que tiene un solo átomo de hidrógeno,Que puede ceder un protón por molécula,Que reacciona sólo con un tipo de base,Que sólo se presenta en estado sólido,B,general,easy
591,Cuál de los siguientes es un anión haluro?,F⁻,OH⁻,SO₄²⁻,NO₃⁻,A,general,easy
592,Cuántos átomos de oxígeno hay en una molécula de H₂SO₄?,1,2,3,4,D,general,easy
593,Qué es un orbital atómico?,La órbita circular del electrón,La región donde se encuentra probablemente un electrón,El camino del núcleo,Una zona vacía sin electrones,B,general,easy
594,Cuál de los siguientes es un hidrocarburo aromático?,Benceno,Metano,Etino,Pentano,A,general,easy
595,Cuál es el estado de oxidación más común del oxígeno en sus compuestos?,0,-2,+2,+1,B,general,easy
596,Cuál de estas vitaminas es soluble en agua?,Vitamina C,Vitamina A,Vitamina D,Vitamina K,A,general,easy
597,Qué son los lípidos saponificables?,Los que no contienen ácidos grasos,Los que no forman jabones,Los que contienen ácidos grasos y pueden formar jabones,Los que sólo tienen esteroides,C,general,easy
598,Cuál de los siguientes iones causa la dureza permanente del agua?,Na⁺,Ca²⁺,K⁺,HCO₃⁻,B,general,easy
599,Cómo se llama la reacción inversa a la fotosíntesis?,Respiración celular,Fermentación,Transpiración,Fijación de nitrógeno,A,general,easy
600,Cuál es la función del cloroplasto en las células vegetales?,Almacenar almidón,Realizar la fotosíntesis,Producir proteínas,Regular el pH,B,general,easy
601,Cuál es el propósito de un antiácido?,Aumentar la acidez,Neutralizar el exceso de ácido,Evitar la absorción de nutrientes,Provocar mayor secreción de ácido,B,general,easy
602,En qué se diferencia un ácido débil de un ácido fuerte?,Se ioniza parcialmente en agua,No contiene hidrógeno,Tiene pH mayor,Es siempre orgánico,A,general,easy
603,Cuál es la partícula subatómica que define la reactividad química de un átomo?,Electrón,Protón,Neutrón,Fotón,A,general,easy
604,Cuál de estos elementos no es un halógeno?,Flúor,Cloro,Bromo,Calcio,D,general,easy
605,Qué afirma el principio de exclusión de Pauli?,Dos electrones pueden tener los cuatro números cuánticos iguales,No puede haber más de un protón en el núcleo,No hay límite de electrones en un orbital,Dos electrones no pueden tener los cuatro números cuánticos iguales,D,general,easy
606,Cuál de los siguientes elementos abunda en la urea?,Azufre,Nitrógeno,Fósforo,Flúor,B,general,easy
607,Cuál de estas sustancias se forma en la respiración aeróbica?,Ácido láctico,Ácido acético,Dióxido de carbono,Ozono,C,general,easy
608,Cuál es el principal uso del helio en la industria?,Combustible,Refrigerante para imanes superconductores,Fertilización de suelos,Producción de acero,B,general,easy
609,Cuál de los siguientes fenómenos se debe a la tensión superficial del agua?,Solubilidad de la sal,Flotación de un clip,Formación de hielo,Ebullición a 100Â°C,B,general,easy
610,Cuál es la función de la bilis en la digestión?,Neutralizar pH,Emulsionar grasas,Descomponer proteínas,Aumentar la absorción de carbohidratos,B,general,easy
611,Cuál es la principal sustancia de reserva energética en las células animales?,Ácido láctico,Glucógeno,ADN,Hemoglobina,B,general,easy
612,Cuál de las siguientes sustancias es un ácido orgánico presente en los cítricos?,Ácido cítrico,Ácido fosfórico,Ácido clorhídrico,Ácido úrico,A,general,easy
613,Qué es la hidrólisis?,La unión de azúcares,La ruptura de un compuesto por agua,La sublimación de un sólido,La deshidratación de la molécula,B,general,easy
614,Cuál describe mejor la entalpía (H) de un sistema?,Medida de la entropía,Contenido de calor a presión constante,Energía cinética de moléculas,Diferencia de potencial eléctrico,B,general,easy
615,"En una reacción redox, qué le sucede a la sustancia que se reduce?",Pierde electrones,Aumenta su número de oxidación,Gana electrones,Se hace insoluble,C,general,easy
616,Qué es un puente salino en una celda electroquímica?,Conductor metálico,Tubo que permite el flujo de iones,Separador sólido,Fuente de energía externa,B,general,easy
617,Cuál es el pH aproximado de la saliva humana?,Entre 1 y 2,Entre 6 y 7,Entre 8 y 9,Mayor que 10,B,general,easy
618,Qué es la nitruración en el acero?,Eliminar impurezas,Aumentar el nitrógeno en la superficie,Aleación con cobre,Proceso de galvanizado,B,general,easy
619,Cuál de los siguientes describe mejor al colágeno?,Proteína estructural,Carbohidrato de reserva,Lípido esencial,Ácido nucleico,A,general,easy
620,Qué establece la ley de acción de masas?,La velocidad es inversa a la concentración,La velocidad es directa a la temperatura,La velocidad es directa a la concentración,La velocidad no depende de la concentración,C,general,easy
621,Cuál de los siguientes compuestos tiene enlace iónico?,H₂O,NaCl,CH₄,Cl₂,B,general,easy
622,Cuál es el gas noble más pesado?,Radón,Xenón,Argón,Kriptón,A,general,easy
623,"En la reacción 2H₂ + O₂ -> 2H₂O, qué reactivo es limitante si hay 4 moles de H₂ y 1 mol de O₂?",H₂,O₂,H₂O,Ninguno,B,general,easy
624,Qué ocurre con el equilibrio de una reacción exotérmica si aumenta la temperatura?,Se desplaza a productos,No cambia,Se desplaza a reactivos,Se forman iones,C,general,easy
625,Cuál es el principal producto de la fermentación alcohólica?,Metano,Etanol,Ácido acético,Benceno,B,general,easy
626,Cuál de estas sustancias abunda en la combustión incompleta?,Dióxido de carbono,Monóxido de carbono,Agua,Ozono,B,general,easy
627,Cuál es el símbolo químico del wolframio?,W,Wo,Tg,Wr,A,general,easy
628,Qué partícula se emite en una desintegración alfa?,Electrón,Protón,Núcleo de helio,Neutrón,C,general,easy
629,Cuál de estos gases tiene olor a huevos podridos?,NH₃,H₂S,SO₂,Cl₂,B,general,easy
630,Qué es un agente oxidante en una reacción redox?,Sustancia que cede electrones,Sustancia que gana electrones,Sustancia que se descompone,Sustancia que no participa,B,general,easy
631,Cuál de los siguientes es un metal noble?,Hierro,Cobre,Plata,Sodio,C,general,easy
632,Cuál es la unidad del campo eléctrico en el SI?,Newton/coulomb,Volt/metro,Ambas A y B,Ampere,C,general,easy
633,Cuál es la fórmula química del permanganato de potasio?,K₂MnO₄,KMnO₄,K₂MnO₃,K(MnO₂)₂,B,general,easy
634,Cuál es la mayor fuente natural de radiación ionizante para el ser humano?,Radón,Radiación cósmica,Radiación ultravioleta,Televisores,A,general,easy
635,Qué tipo de enlace mantienen unidos los átomos en las sales inorgánicas?,Covalente,Iónico,Metálico,Puente de hidrógeno,B,general,easy
636,Cuál es la característica principal de un electrodo estándar?,Está a 0 K,Concentración 1 M para cada especie,No conduce electricidad,Opera sin presión,C,general,easy
637,Cuál es la especie química que define la acidez en una solución acuosa?,H⁺,OH⁻,Na⁺,Cl⁻,A,general,easy
638,Qué pasa con la solubilidad de un gas en agua al aumentar la temperatura?,Aumenta,Disminuye,No cambia,Se evapora por completo,B,general,easy
639,Cuál de las siguientes sustancias es una base de Brønsted-Lowry?,H₂O,NH₃,H₂SO₄,NaCl,B,general,easy
640,Qué es la entropía en termodinámica?,Medida del desorden,Energía cinética total,Calor latente,Presión de un gas,A,general,easy
641,Cuál es el elemento más abundante en el universo?,Helio,Hidrógeno,Oxígeno,Carbono,B,general,easy
642,Qué es la alotropía?,Capacidad de un elemento de existir en varias formas,Combinación de dos elementos,Radioactividad natural,Oxidación de metales,A,general,easy
643,Cuál de estas sustancias se produce al reaccionar un metal con un ácido?,Óxido,Sal e hidrógeno,Éster,Hidrocarburo,B,general,easy
644,Qué grupo de elementos ocupa la columna 17 de la tabla periódica?,Metales alcalinos,Gases nobles,Halógenos,Alcalinotérreos,C,general,easy
645,Cuál es la composición aproximada del acero inoxidable?,50% hierro y 50% carbono,Hierro cromo y níquel,Hierro y cobre,Hierro y magnesio,B,general,easy
646,Cuál es el metal más abundante en la corteza terrestre?,Cobre,Plata,Aluminio,Oro,C,general,easy
647,Qué es la pasivación de un metal?,Formación de capa de óxido protectora,Fusión del metal,Transformación en sal,Galvanizado,A,general,easy
648,Cuál de los siguientes es un ácido diprótico?,HCl,H₂SO₄,H₃PO₄,CH₃COOH,B,general,easy
649,Cuál es el principal uso del gas cloro en el tratamiento del agua?,Oxidar metales,Desinfectar agua potable,Controlar dureza,Reducir pH,B,general,easy
650,Cuál describe mejor a una base según la teoría de Arrhenius?,Sustancia que dona H⁺,Produce OH⁻,Genera H₃O⁺,Gana electrones,B,general,easy
651,¿Cuál es la masa molar del carbonato de calcio (CaCO₃)?,100.09 g/mol,84.01 g/mol,60.01 g/mol,50.05 g/mol,A,general,medium
652,¿Cuál es la fórmula empírica de un compuesto con 40% de azufre y 60% de oxígeno en masa?,SO,SO₂,SO₃,S₂O₃,C,general,medium
653,¿Qué ley establece que la presión y el volumen de un gas son inversamente proporcionales a temperatura constante?,Ley de Boyle,Ley de Charles,Ley de Avogadro,Ley de Dalton,A,general,medium
654,¿Cuál es el pH de una solución de 0.01 M de HCl?,1,2,3,4,A,general,medium
655,"Para la reacción N₂(g) + 3H₂(g) ↔ 2NH₃(g), ¿cuál es la expresión de la constante de equilibrio (Kc)?",[NH₃]²/([N₂][H₂]³),[N₂][H₂]³/[NH₃]²,[NH₃]/([N₂][H₂]),[N₂]²/[NH₃]³,A,general,medium
656,¿Cuál es el pH de una solución 0.1 M de ácido acético (Ka = 1.8×10⁻⁵)?,2.88,3.1,4.76,5.42,A,general,medium
657,¿Cuál es el estado de oxidación del manganeso en KMnO₄?,6,7,4,2,B,general,medium
